区域编号,当前测线编号,前一测线编号,测线长度_海里,超额重叠段数,总采样段数,超额重叠长度_海里,超额重叠比例_%
0,2,1,1.0958,2,81,0.0271,2.4691
0,3,2,1.0958,3,81,0.0406,3.7037
0,4,3,1.0958,4,81,0.0541,4.9383
0,5,4,1.0958,3,81,0.0406,3.7037
0,6,5,1.0958,4,81,0.0541,4.9383
0,7,6,1.0958,3,81,0.0406,3.7037
0,8,7,1.0958,3,81,0.0406,3.7037
0,9,8,1.0958,3,81,0.0406,3.7037
0,10,9,1.0958,3,81,0.0406,3.7037
0,11,10,1.0958,3,81,0.0406,3.7037
0,12,11,1.0958,2,81,0.0271,2.4691
0,13,12,1.0958,2,81,0.0271,2.4691
0,14,13,1.0958,2,81,0.0271,2.4691
0,15,14,1.0958,2,81,0.0271,2.4691
0,16,15,1.0958,2,81,0.0271,2.4691
0,17,16,1.0958,2,81,0.0271,2.4691
0,18,17,1.0958,1,81,0.0135,1.2346
0,19,18,1.0958,1,81,0.0135,1.2346
0,20,19,1.0958,1,81,0.0135,1.2346
0,21,20,1.0958,1,81,0.0135,1.2346
0,22,21,1.0958,1,81,0.0135,1.2346
1,2,1,2.5528,37,189,0.4998,19.5767
1,3,2,2.5528,36,189,0.4862,19.0476
1,4,3,2.5528,35,189,0.4727,18.5185
1,5,4,2.5528,33,189,0.4457,17.4603
1,6,5,2.5528,31,189,0.4187,16.4021
1,7,6,2.5528,29,189,0.3917,15.3439
1,8,7,2.5528,27,189,0.3647,14.2857
1,9,8,2.5528,25,189,0.3377,13.2275
1,10,9,2.5528,22,189,0.2972,11.6402
1,11,10,2.5528,19,189,0.2566,10.0529
1,12,11,2.5528,16,189,0.2161,8.4656
1,13,12,2.5528,12,189,0.1621,6.3492
1,14,13,2.5528,12,189,0.1621,6.3492
1,15,14,2.5528,12,189,0.1621,6.3492
1,16,15,2.5528,13,189,0.1756,6.8783
1,17,16,2.5528,17,189,0.2296,8.9947
1,18,17,2.5528,22,189,0.2972,11.6402
1,19,18,2.5528,26,189,0.3512,13.7566
1,20,19,2.5528,30,189,0.4052,15.8730
1,21,20,2.5528,31,189,0.4187,16.4021
1,22,21,2.5528,34,189,0.4592,17.9894
2,2,1,2.2835,26,169,0.3513,15.3846
2,3,2,2.2835,26,169,0.3513,15.3846
2,4,3,2.2835,25,169,0.3378,14.7929
2,5,4,2.2835,24,169,0.3243,14.2012
2,6,5,2.2835,23,169,0.3108,13.6095
2,7,6,2.2835,21,169,0.2837,12.4260
2,8,7,2.2835,20,169,0.2702,11.8343
2,9,8,2.2835,19,169,0.2567,11.2426
2,10,9,2.2835,17,169,0.2297,10.0592
2,11,10,2.2835,15,169,0.2027,8.8757
2,12,11,2.2835,14,169,0.1892,8.2840
2,13,12,2.2835,11,169,0.1486,6.5089
2,14,13,2.2835,9,169,0.1216,5.3254
2,15,14,2.2835,6,169,0.0811,3.5503
2,16,15,2.2835,3,169,0.0405,1.7751
3,2,1,2.6365,50,195,0.6760,25.6410
3,3,2,2.6365,47,195,0.6355,24.1026
3,4,3,2.6365,43,195,0.5814,22.0513
3,5,4,2.6365,38,195,0.5138,19.4872
3,6,5,2.6365,32,195,0.4327,16.4103
3,7,6,2.6365,22,195,0.2975,11.2821
3,8,7,2.6365,8,195,0.1082,4.1026
3,13,12,2.6365,3,195,0.0406,1.5385
3,14,13,2.6365,22,195,0.2975,11.2821
3,15,14,2.6365,38,195,0.5138,19.4872
4,2,1,2.6868,79,199,1.0666,39.6985
4,3,2,2.6868,79,199,1.0666,39.6985
4,4,3,2.6868,77,199,1.0396,38.6935
4,5,4,2.6868,73,199,0.9856,36.6834
4,6,5,2.6868,28,199,0.3780,14.0704
4,10,9,2.6868,44,199,0.5941,22.1106
4,11,10,2.6868,33,199,0.4455,16.5829
5,2,1,2.5735,23,190,0.3115,12.1053
5,3,2,2.5735,22,190,0.2980,11.5789
5,4,3,2.5735,22,190,0.2980,11.5789
5,5,4,2.5735,21,190,0.2844,11.0526
5,6,5,2.5735,21,190,0.2844,11.0526
5,7,6,2.5735,19,190,0.2574,10.0000
5,8,7,2.5735,19,190,0.2574,10.0000
5,9,8,2.5735,19,190,0.2574,10.0000
5,10,9,2.5735,17,190,0.2303,8.9474
5,11,10,2.5735,17,190,0.2303,8.9474
5,12,11,2.5735,16,190,0.2167,8.4211
5,13,12,2.5735,15,190,0.2032,7.8947
5,14,13,2.5735,15,190,0.2032,7.8947
5,15,14,2.5735,14,190,0.1896,7.3684
5,16,15,2.5735,14,190,0.1896,7.3684
5,17,16,2.5735,14,190,0.1896,7.3684
5,18,17,2.5735,15,190,0.2032,7.8947
5,19,18,2.5735,16,190,0.2167,8.4211
5,20,19,2.5735,16,190,0.2167,8.4211
5,21,20,2.5735,8,190,0.1084,4.2105
5,22,21,2.5735,1,190,0.0135,0.5263
6,2,1,2.6794,39,198,0.5278,19.6970
6,3,2,2.6794,29,198,0.3924,14.6465
